codigo;uf;ex;nacionalfe;importados;estadual;municipal
01012100;SP;;4.20;6.20;0.00;0.00
01012900;SP;;4.20;6.22;18.00;0.00
01013000;SP;;4.20;6.24;18.00;0.00
01019000;SP;;4.20;6.24;18.00;0.00
01022110;SP;;4.20;6.20;12.00;0.00
01022190;SP;;4.20;6.20;12.00;0.00
01022911;SP;;4.20;6.22;12.00;0.00
01022919;SP;;4.20;6.22;12.00;0.00
01022990;SP;;4.20;6.22;12.00;0.00
01023110;SP;;4.20;6.20;12.00;0.00
01023190;SP;;4.20;6.20;12.00;0.00
01023911;SP;;4.20;6.22;12.00;0.00
01023919;SP;;4.20;6.22;12.00;0.00
01023990;SP;;4.20;6.22;12.00;0.00
01029000;SP;;4.20;6.20;12.00;0.00
01031000;SP;;4.20;6.20;12.00;0.00
01039100;SP;;4.20;6.22;12.00;0.00
01039200;SP;;4.20;6.22;12.00;0.00
01041011;SP;;4.20;6.20;12.00;0.00
01041019;SP;;4.20;6.20;12.00;0.00
01041090;SP;;4.20;6.22;12.00;0.00
01042010;SP;;4.20;6.20;12.00;0.00
01042090;SP;;4.20;6.22;12.00;0.00
01051110;SP;;4.20;6.20;0.00;0.00
01051190;SP;;4.20;6.22;0.00;0.00
01051200;SP;;4.20;6.22;0.00;0.00
01051300;SP;;4.20;6.22;0.00;0.00
01051400;SP;;4.20;6.22;0.00;0.00
01051500;SP;;4.20;6.22;0.00;0.00
01059400;SP;;4.20;6.24;0.00;0.00
01059900;SP;;4.20;6.24;0.00;0.00
01061100;SP;;4.20;6.24;0.00;0.00
01061200;SP;;4.20;6.24;0.00;0.00
01061300;SP;;4.20;6.24;0.00;0.00
01061400;SP;;4.20;6.24;0.00;0.00
01061900;SP;;4.20;6.24;0.00;0.00
01062000;SP;;4.20;6.24;0.00;0.00
01063100;SP;;4.20;6.24;0.00;0.00
01063200;SP;;4.20;6.24;0.00;0.00
01063310;SP;;4.20;6.20;0.00;0.00
01063390;SP;;4.20;6.24;0.00;0.00
01063900;SP;;4.20;6.24;0.00;0.00
01064100;SP;;4.20;6.24;12.00;0.00
01064900;SP;;4.20;6.24;12.00;0.00
01069000;SP;;4.20;6.24;12.00;0.00
02011000;SP;;4.20;6.29;12.00;0.00
02012010;SP;;4.20;6.29;12.00;0.00
02012020;SP;;4.20;6.29;12.00;0.00
02012090;SP;;4.20;6.29;12.00;0.00
02013000;SP;;4.20;6.31;12.00;0.00
02021000;SP;;4.20;6.29;12.00;0.00
02022010;SP;;4.20;6.29;12.00;0.00
02022020;SP;;4.20;6.29;12.00;0.00
02022090;SP;;4.20;6.29;12.00;0.00
02023000;SP;;4.20;6.31;12.00;0.00
02031100;SP;;4.20;6.29;12.00;0.00
02031200;SP;;4.20;6.29;12.00;0.00
02031900;SP;;4.20;6.29;12.00;0.00
02032100;SP;;4.20;6.29;12.00;0.00
02032200;SP;;4.20;6.29;12.00;0.00
02032900;SP;;4.20;6.29;12.00;0.00
02041000;SP;;4.20;6.29;12.00;0.00
02042100;SP;;4.20;6.29;12.00;0.00
02042200;SP;;4.20;6.29;12.00;0.00
02042300;SP;;4.20;6.29;12.00;0.00
02043000;SP;;4.20;6.29;12.00;0.00
02044100;SP;;4.20;6.29;12.00;0.00
02044200;SP;;4.20;6.29;12.00;0.00
02044300;SP;;4.20;6.29;12.00;0.00
02045000;SP;;4.20;6.29;12.00;0.00
02050000;SP;;13.45;15.54;0.00;0.00
02061000;SP;;4.20;6.29;12.00;0.00
02062100;SP;;4.20;6.29;12.00;0.00
02062200;SP;;4.20;6.29;12.00;0.00
02062910;SP;;4.20;6.29;12.00;0.00
02062990;SP;;4.20;6.29;12.00;0.00
02063000;SP;;4.20;6.29;12.00;0.00
02064100;SP;;4.20;6.29;12.00;0.00
02064900;SP;;4.20;6.29;12.00;0.00
02068000;SP;;4.20;6.29;12.00;0.00
02069000;SP;;13.45;15.54;12.00;0.00
02071100;SP;;4.20;6.29;12.00;0.00
02071200;SP;;4.20;6.29;12.00;0.00
02071300;SP;;4.20;6.29;12.00;0.00
02071400;SP;;4.20;6.29;12.00;0.00
02072400;SP;;4.20;6.29;12.00;0.00
02072500;SP;;4.20;6.29;12.00;0.00
02072600;SP;;4.20;6.29;12.00;0.00
02072700;SP;;4.20;6.29;12.00;0.00
02074100;SP;;4.20;6.29;12.00;0.00
02074200;SP;;4.20;6.29;12.00;0.00
02074300;SP;;4.20;6.29;12.00;0.00
02074400;SP;;4.20;6.29;12.00;0.00
02074500;SP;;4.20;6.29;12.00;0.00
02075100;SP;;4.20;6.29;12.00;0.00
02075200;SP;;4.20;6.29;12.00;0.00
02075300;SP;;4.20;6.29;12.00;0.00
02075400;SP;;4.20;6.29;12.00;0.00
02075500;SP;;4.20;6.29;12.00;0.00
02076000;SP;;4.20;6.29;12.00;0.00
02081000;SP;;13.45;15.54;12.00;0.00
02083000;SP;;13.45;15.54;0.00;0.00
02084000;SP;;13.45;15.54;0.00;0.00
02085000;SP;;13.45;15.54;0.00;0.00
02086000;SP;;13.45;15.54;0.00;0.00
02089000;SP;;13.45;15.54;12.00;0.00
02091011;SP;;4.20;6.26;12.00;0.00
