cest;descricao
01.001.00;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores
01.002.00;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos
01.003.00;Protetores de caçamba
01.004.00;Reservatórios de óleo
01.005.00;Frisos, decalques, molduras e acabamentos
01.006.00;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias
01.007.00;Juntas, gaxetas e outros elementos com função semelhante de vedação
01.008.00;Partes de veículos automóveis, tratores e máquinas autopropulsadas
01.009.00;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins
01.010.00;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico
01.011.00;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias
01.012.00;Encerados e toldos
01.013.00;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores
01.014.00;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias
01.015.00;Vidros de dimensões e formatos que permitam aplicação automotiva
01.016.00;Espelhos retrovisores
01.017.00;Lentes de faróis, lanternas e outros utensílios
01.018.00;Cilindro de aço para GNV (gás natural veicular)
01.019.00;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0
01.020.00;Molas e folhas de molas, de ferro ou aço
01.021.00;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00
01.022.00;Peso de chumbo para balanceamento de roda
01.023.00;Peso para balanceamento de roda e outros utensílios de estanho
01.024.00;Fechaduras e partes de fechaduras
01.025.00;Chaves apresentadas isoladamente
01.026.00;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns
01.027.00;Triângulo de segurança
01.028.00;Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87
01.029.00;Motores dos tipos utilizados para propulsão de veículos automotores
01.030.00;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408
01.031.00;Motores hidráulicos
01.032.00;Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão
01.033.00;Bombas de vácuo
01.034.00;Compressores e turbocompressores de ar
01.035.00;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
01.036.00;Máquinas e aparelhos de ar condicionado
01.037.00;Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão
01.038.00;Filtros a vácuo
01.039.00;Partes dos aparelhos para filtrar ou depurar líquidos ou gases
01.040.00;Extintores, mesmo carregados
01.041.00;Filtros de entrada de ar para motores de ignição por centelha ou por compressão
01.042.00;Depuradores por conversão catalítica de gases de escape
01.043.00;Macacos
01.044.00;Partes para macacos do CEST 01.043.00
01.045.00;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
01.045.01;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
01.046.00;Válvulas redutoras de pressão
01.047.00;Válvulas para transmissão óleo-hidráulicas ou pneumáticas
01.048.00;Válvulas solenoides
01.049.00;Rolamentos
01.050.00;"Árvores de transmissão (incluídas as árvores de 'cames' e virabrequins) e manivelas; mancais e 'bronzes'; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação"
