cest;ncm
01.001.00;3815.12.10
01.001.00;3815.12.90
01.002.00;3917
01.003.00;3918.10.00
01.004.00;3923.30.00
01.005.00;3926.30.00
01.006.00;4010.3
01.006.00;5910.00.00
01.007.00;4016.93.00
01.007.00;4823.90.9
01.008.00;4016.10.10
01.009.00;4016.99.90
01.009.00;5705.00.00
01.010.00;5903.90.00
01.011.00;5909.00.00
01.012.00;6306
01.012.00;1
01.013.00;6506.10.00
01.014.00;6813
01.015.00;7007.11.00
01.015.00;7007.21.00
01.016.00;7009.10.00
01.017.00;7014.00.00
01.018.00;7311.00.00
01.019.00;7311.00.00
01.020.00;7320
01.021.00;7325
01.022.00;7806
01.023.00;8007.00.90
01.024.00;8301.20
01.024.00;8301.60
01.025.00;8301
01.025.00;7
01.026.00;8302.10.00
01.026.00;8302.30.00
01.027.00;8310
01.028.00;8407
01.028.00;3
01.029.00;8408
01.029.00;2
01.030.00;8409
01.030.00;9
01.031.00;8412
01.031.00;2
01.032.00;8413
01.032.00;3
01.033.00;8414.10.00
01.034.00;8414.80.1
01.034.00;8414.80.2
01.035.00;8413.91.90
01.035.00;8414.90.10
01.035.00;8414.90.3
01.035.00;8414.90.39
01.036.00;8415
01.036.00;2
01.037.00;8421.23.00
01.038.00;8421.29.90
01.039.00;8421
01.039.00;9
01.040.00;8424.10.00
01.041.00;8421.31.00
01.042.00;8421.39.20
01.043.00;8425.42.00
01.044.00;8431.10.10
01.045.00;8431.49.2
01.045.01;8433.90.90
01.046.00;8481.10.00
01.047.00;8481
01.047.00;2
01.048.00;8481.80.92
01.049.00;8482
01.050.00;8483
01.051.00;8484
01.052.00;8505
01.052.00;2
01.053.00;8507
01.053.00;1
01.054.00;8511
01.055.00;8512.20
01.055.00;8512.40
01.055.00;8512.90.00
01.056.00;8517.12.13
01.057.00;8518
01.058.00;8518.50.00
01.059.00;8519
01.059.00;81
01.060.00;8525.50.1
01.060.00;8525.60.10
01.061.00;8527.21.00
01.062.00;8527.29.00
01.062.01;8521.90.90
01.063.00;8529.10.90
01.064.00;8534
01.065.00;8535.30
01.065.00;8536.50
01.066.00;8536.10.00
01.067.00;8536.20.00
01.068.00;8536
01.068.00;4
01.069.00;8538
01.070.00;8539
01.070.00;1
01.071.00;8539
01.071.00;2
01.072.00;8544.20.00
01.073.00;8544.30.00
01.074.00;8707
01.075.00;8708
01.076.00;8714
01.076.00;1
01.077.00;8716.90.90
01.078.00;9026
01.078.00;1
01.079.00;9026
01.079.00;2
01.080.00;9029
01.081.00;9030.33.21
01.082.00;9031.80.40
01.083.00;9032.89.2
01.084.00;9104.00.00
01.085.00;9401.20.00
01.085.00;9401.90.90
01.086.00;9613.80.00
01.087.00;4009
01.088.00;4504.90.00
01.088.00;6812.99.10
01.089.00;4823.40.00
01.090.00;3919.10.00
01.090.00;3919.90.00
01.090.00;8708.29.99
01.091.00;8412.31.10
01.092.00;8413.19.00
01.092.00;8413.50.90
01.092.00;8413.81.00
01.093.00;8413.60.19
01.093.00;8413.70.10
01.094.00;8414.59.10
01.094.00;8414.59.90
01.095.00;8421.39.90
01.096.00;8501.10.19
01.097.00;8501.31.10
01.098.00;8504.50.00
01.099.00;8507
01.099.00;2
01.099.00;3
01.100.00;8512.30.00
01.101.00;9032.89.8
01.101.00;9032.89.9
01.102.00;9027.10.00
01.103.00;4008.11.00
01.104.00;5601.22.19
01.105.00;5703.20.00
01.106.00;5703.30.00
01.107.00;5911.90.00
01.108.00;6903.90.99
01.109.00;7007.29.00
01.110.00;7314.50.00
01.111.00;7315.11.00
01.112.00;7315.12.10
01.113.00;8418.99.00
01.114.00;8419
01.114.00;5
01.115.00;8424.90.90
01.116.00;8425.49.10
01.117.00;8431.41.00
01.118.00;8501.61.00
01.119.00;8531.10.90
01.120.00;9014.10.00
01.121.00;9025.19.90
01.122.00;9025.90.10
01.123.00;9026
01.123.00;9
01.124.00;9032.10.10
01.125.00;9032.10.90
01.126.00;9032.20.00
01.127.00;8716
01.127.00;9
01.128.00;7322.90.10
02.001.00;2205
02.001.00;2208.90.00
02.002.00;2208.90.00
02.003.00;2208.90.00
02.004.00;2207.20
02.004.00;2208.40.00
02.005.00;2205
02.005.00;2206.00.90
02.005.00;2208.90.00
02.006.00;2208.20.00
02.007.00;2206.00.90
02.007.00;2208.90.00
02.008.00;2208.50.00
02.009.00;2205
02.009.00;2206.00.90
02.009.00;2208.90.00
02.010.00;2208.70.00
02.011.00;2208.20.00
02.012.00;2208.40.00
02.013.00;2206.00.90
02.014.00;2208.90.00
02.015.00;2208.90.00
02.016.00;2208
02.016.00;3
02.017.00;2205
02.018.00;2208.60.00
02.019.00;2208.90.00
02.020.00;2208.90.00
02.021.00;2208.20.00
02.022.00;2206.00.10
02.023.00;2205
02.023.00;2206.00.90
02.023.00;2208.90.00
02.024.00;2204
02.999.00;2205
02.999.00;2206
02.999.00;2207
02.999.00;2208
03.001.00;2201.10.00
03.002.00;2201.10.00
03.003.00;2201.10.00
03.004.00;2201.10.00
03.005.00;2201.10.00
03.006.00;2201.10.00
03.007.00;2202.10.00
03.008.00;2202.99.00
03.010.00;2202
03.011.00;2202
03.012.00;2106.90.10
03.013.00;2106.90
03.013.00;2202.99.00
03.014.00;2106.90
03.014.00;2202.99.00
03.015.00;2106.90
03.015.00;2202.99.00
03.016.00;2106.90
03.016.00;2202.90.00
03.021.00;2203.00.00
03.022.00;2202.91.00
03.023.00;2203.00.00
04.001.00;2402
04.002.00;2403
04.002.00;1
05.001.00;2523
06.001.00;2207.10.10
06.001.01;2207.10.90
06.002.00;2710.12.59
06.002.01;2710.12.59
06.002.02;2710.12.59
06.002.03;2710.12.59
06.003.00;2710.12.51
06.004.00;2710.19.19
06.005.00;2710.19.11
06.006.00;2710.19.2
06.006.01;2710.19.2
06.006.02;2710.19.2
06.006.03;2710.19.2
06.006.04;2710.19.2
06.006.05;2710.19.2
06.006.06;2710.19.2
06.006.07;2710.19.2
06.006.08;2710.19.2
06.006.09;2710.19.2
06.006.10;2710.19.2
06.006.11;2710.19.22
06.007.00;2710.19.3
06.008.00;2710.19.9
06.009.00;2710
06.009.00;9
06.010.00;2711
06.011.00;2711.19.10
06.011.01;2711.19.10
06.011.02;2711.19.10
06.011.03;2711.19.10
06.011.04;2711.19.10
06.011.05;2711.19.10
06.011.06;2711.19.10
06.011.07;2711.19.10
06.012.00;2711.11.00
06.013.00;2711.21.00
06.014.00;2711.29.90
06.015.00;2713
06.016.00;3826.00.00
06.017.00;3403
06.018.00;2710.20.00
07.001.00;2716.00.00
08.001.00;4016.99.90
08.002.00;4417.00.10
08.002.00;4417.00.90
08.003.00;6804
08.004.00;8201
08.005.00;8202.20.00
08.006.00;8202.91.00
08.007.00;8202
08.008.00;8203
08.009.00;8204
08.010.00;8205
08.011.00;8206.00.00
08.012.00;8207.40
08.012.00;8207.60
08.012.00;8207.70
08.013.00;8207
08.014.00;8208
08.015.00;8209.00.11
08.016.00;8209
08.017.00;8211
08.018.00;8213
08.019.00;8467
08.019.01;8467.81.00
08.020.00;9015
08.021.00;9017.20.00
08.021.00;9017.30
08.021.00;9017.80
08.021.00;9017.90.90
08.022.00;9025.11.90
08.022.00;9025.90.10
08.023.00;9025.19
08.023.00;9025.90.90
09.001.00;8539
09.002.00;8540
09.003.00;8504.10.00
09.004.00;8536
09.004.00;5
09.005.00;8539.50.00
10.001.00;2522
10.002.00;3816.00.1
10.002.00;3824.50.00
10.003.00;3214.90.00
10.004.00;3910
10.005.00;3916
10.006.00;3917
10.007.00;3918
10.008.00;3919
10.009.00;3919
10.009.00;3920
10.009.00;3921
10.010.00;3921
10.011.00;3921
10.012.00;3921
10.013.00;3922
10.014.00;3924
10.015.00;3925.10.00
10.016.00;3925
10.016.00;9
10.017.00;3925.10.00
10.017.00;3925.90
10.018.00;3925.20.00
10.019.00;3925.30.00
10.020.00;3926
10.020.00;9
10.021.00;4814
10.022.00;6810.19.00
10.023.00;6811
10.024.00;6811
10.025.00;6901.00.00
10.026.00;6902
10.027.00;6904
10.028.00;6905
10.029.00;6906.00.00
10.030.00;6907
10.030.01;6907
10.031.00;6910
10.032.00;6912.00.00
10.033.00;7003
10.034.00;7004
10.035.00;7005
10.036.00;7007.19.00
10.037.00;7007.29.00
10.038.00;7008
10.039.00;7016
10.040.00;7214.20.00
10.041.00;7308.90.10
10.042.00;7214.20.00
10.043.00;7213
10.043.00;7308.90.10
10.044.00;7217.10.90
10.044.00;7312
10.045.00;7217.20.10
10.045.01;7217.20.90
10.046.00;7307
10.047.00;7308.30.00
10.048.00;7308.40.00
10.048.00;7308.90
10.049.00;7308.40.00
10.050.00;7308.90.90
10.051.00;7310
10.052.00;7313.00.00
10.053.00;7314
10.054.00;7315.11.00
